,image_name,see_throughness,glossiness,softness,glow,density,label
104,lucitefruit3,6,6,6,1,1,0
105,bluejelly,1,4,1,1,5,1
106,tulumba4,1,2,5,1,2,1
107,eggyolk8,2,3,6,1,2,1
108,caramelcandy1,1,5,2,1,3,1
109,lucitefruit1,2,6,2,1,5,0
110,frostedglass2,4,5,2,1,4,0
111,brownrock,1,4,1,1,6,1
112,dragonfruit4,1,2,6,1,2,1
113,toy1,1,4,2,1,4,1
114,toy2BB,2,3,5,1,3,1
115,marshmallow2,2,1,6,1,1,1
116,maripan1,1,1,5,1,2,1
117,tarsoap1,1,2,3,2,4,1
118,mochi11,2,1,5,1,1,1
119,wood14,1,1,2,1,5,1
120,frostedglass3,4,4,1,1,4,0
121,Scallops3,4,4,6,2,1,1
122,carrotslice1,2,2,4,1,3,1
123,JellyMooncake1,6,5,6,1,2,0
124,meat1BB,2,3,4,1,2,1
125,cheese7,2,6,1,1,5,0
126,ambersoap,4,4,3,1,3,0
127,honeycomb3,4,5,5,1,3,0
128,cheesekeycap,1,4,5,1,2,1
129,marble3,1,2,4,1,1,1
130,SlicedBanana2,1,3,4,1,3,1
131,waxcube3,2,4,2,1,4,1
132,mantou1,2,2,6,1,1,1
133,fudge4,1,2,4,1,3,1
134,raspberry3,3,3,6,1,2,0
135,butter1,1,3,5,1,3,1
136,tofu2,2,4,6,1,1,1
137,hamslice2,4,3,3,1,3,1
138,bearBB,6,4,5,1,4,0
139,cheesewax4,1,2,4,1,3,1
140,avacado6,1,2,6,1,2,1
141,ivory2,1,1,3,1,4,1
142,jello2,6,5,2,1,4,0
143,quartz64,3,5,1,1,6,0
144,turnipslice1,4,3,2,1,4,0
145,pot3,1,1,1,1,5,1
146,palmivory3,1,4,1,1,5,0
147,soap3BB,2,3,4,1,4,1
148,clay11,1,3,4,1,4,1
149,whitejade3,2,5,1,1,5,0
150,beewax7,1,2,5,1,3,1
151,jade12,1,5,1,1,5,1
152,mangojelly3,5,3,5,1,3,0
153,marble1,2,6,2,1,5,0
154,glasschess3,6,5,1,1,5,0
155,jade5BB,2,5,1,1,5,0
156,beewax9,1,3,6,1,2,1
157,cheese12,1,2,5,1,3,1
158,seashell6,1,1,2,1,3,1
159,bowl1,1,4,2,1,3,0
160,tofu7,2,3,6,1,3,1
161,cheesecake4,2,4,6,1,2,1
162,peeledpumkin2,1,3,5,1,3,1
163,beewax4,1,1,5,1,4,1
164,metal17,1,6,1,1,6,1
165,icecream1,1,2,6,1,1,1
166,fishmeat1,2,2,6,1,2,1
167,PinkWax2,1,3,3,1,3,1
168,honeycandy2,4,3,5,1,3,1
169,metal8,1,3,1,1,5,1
170,pearl4,1,4,3,1,3,0
171,fluorite2,6,4,3,1,3,0
172,sulfursoap1,1,4,3,1,3,0
173,tuna4BB,1,3,6,1,2,1
174,cheesewax5,1,5,1,1,5,1
175,woodcube1,1,1,2,1,3,1
176,salmon3,1,3,6,1,2,1
177,jade13,2,5,1,1,5,0
178,sulfursoap2,1,3,4,1,3,1
179,fluorite4,4,4,2,1,4,0
180,sponge1,2,1,6,1,1,1
181,urethane1,1,1,1,1,1,1
182,resincube1,5,4,3,1,2,0
183,cheese16,1,2,6,1,3,1
184,beeswax1,1,4,2,1,4,1
185,cheese8,1,2,4,1,2,1
186,orangewedge1,4,4,6,1,1,0
187,pomegranate2,3,4,4,1,1,0
188,fishmeat5,1,3,5,1,2,1
189,glasschess2,5,4,1,1,5,0
190,rmeat3BB,1,1,6,1,2,1
191,sugarcube5,2,3,1,1,4,1
192,waxcube1,2,3,5,1,2,1
193,beewax6,1,3,5,1,3,1
194,meat5BB,2,5,6,1,2,0
195,sugarcube2,1,2,3,1,2,1
196,dougao1,2,4,6,1,1,1
197,mochi8,1,4,5,1,2,1
198,GlycerinSoap2,4,3,2,1,4,0
199,limesoap1,1,2,1,1,5,1
200,meat3BB,1,3,2,1,4,1
201,copper3,1,2,1,1,6,1
202,glycerin6,6,4,4,5,4,0
203,egg5,1,4,5,1,3,1
204,beeswax3,1,3,2,1,4,1
205,wax4BB,5,5,3,1,3,0
206,tofu3,1,2,6,1,2,1
