,image_name,see_throughness,glossiness,softness,glow,density,label
255,rockcandy2,4,5,1,4,5,0
256,cup14BB,2,1,4,2,3,1
257,jello5,2,5,4,1,3,1
258,greenstone1,2,4,3,1,4,0
259,soap8,3,4,4,2,3,1
260,fudge5,2,1,6,1,1,1
261,DragonfruitJelly1,2,5,6,5,3,0
262,choppedpotato2,2,2,5,1,1,1
263,pickleslice1,5,3,6,1,1,0
264,Angel3,5,3,2,2,3,0
265,palmivory1,1,5,2,1,4,1
266,rubber7,1,1,5,5,3,1
267,bluefluorite1,4,3,2,2,4,0
268,orange7,3,2,5,2,1,0
269,quartz54,4,4,2,2,4,0
270,pearl1,4,6,3,3,3,1
271,limeslice1,4,3,6,3,1,1
272,peeledorange1,4,1,6,3,1,1
273,cup4BB,2,5,3,2,4,1
274,glycerin5,4,3,3,2,3,0
275,frostedglass1,4,4,6,5,2,0
276,raspberry2,4,4,6,3,2,0
277,sponge2,3,1,6,1,1,1
278,caramelcandy3,2,1,6,1,4,1
279,strawberry1,2,1,6,1,3,1
280,chickennugget3,4,1,5,1,1,1
281,tofu11,2,3,5,1,3,1
282,Scallops2,3,3,6,1,3,1
283,plastic6BB,4,4,3,4,3,0
284,tooth3,3,5,2,1,3,0
285,butter2,1,1,6,1,4,1
286,waffle3,5,1,6,1,1,0
287,jello1,2,1,5,2,3,1
288,limeslice6,3,4,6,1,4,0
289,stone1,3,1,2,1,3,1
290,plastic7BB,4,6,2,3,4,0
291,chalk1,2,1,5,1,4,1
292,cheese11,1,1,6,1,4,1
293,steel3,1,6,1,1,6,1
294,Scallops4,2,3,6,1,3,1
295,persimmon2,2,4,6,2,3,1
296,chalk3,1,1,4,1,3,1
297,botryoidal2,2,5,1,3,4,0
298,colorsoap1,4,1,1,4,5,0
299,gummi29,4,5,3,4,4,0
