Trial_num,image_path,image_name,object_type
Trial # 82/300,Object2/onion/onion1.jpg,onion1,onion
Trial # 83/300,Object2/soaps/yellowsoap1.jpg,yellowsoap1,soaps
Trial # 84/300,Object2/soaps/olivesoap1.jpg,olivesoap1,soaps
Trial # 85/300,Object2/ruber/eraser3.jpg,eraser3,ruber
Trial # 86/300,Object2/dumpling/dumpling3.jpg,dumpling3,dumpling
Trial # 87/300,Object2/wax/wax2.jpg,wax2,wax
Trial # 88/300,Object2/peeledorange/peeledorange3.jpg,peeledorange3,peeledorange
Trial # 89/300,Object2/resin/resin2.jpg,resin2,resin
Trial # 90/300,Object2/salmon/salmon5.jpg,salmon5,salmon
Trial # 91/300,Object2/selenite/selenite3.jpg,selenite3,selenite
Trial # 92/300,Object2/gummi/gummi30.jpg,gummi30,gummi
Trial # 93/300,Object2/marzipan/marzipan3.jpg,marzipan3,marzipan
Trial # 94/300,Object2/glass/glasschess1.jpg,glasschess1,glass
Trial # 95/300,Object2/OrangeWedge/orangewedge5.jpg,orangewedge5,OrangeWedge
Trial # 96/300,Object2/peeledpumkin/peeledpumkin4.jpg,peeledpumkin4,peeledpumkin
Trial # 97/300,Object2/dragonfruit/dragonfruit7.jpg,dragonfruit7,dragonfruit
Trial # 98/300,Object2/beewax/beewax12.jpg,beewax12,beewax
Trial # 99/300,Object2/fluorite/fluorite1.jpg,fluorite1,fluorite
Trial # 100/300,Object2/bronze/bronzehead.jpg,bronzehead,bronze
Trial # 101/300,Object2/beewax/beewax8.jpg,beewax8,beewax
Trial # 102/300,Object2/egg/egg6.jpg,egg6,egg
Trial # 103/300,Object2/jade/jade11.jpg,jade11,jade
Trial # 104/300,Object2/cheesewax/cheesewaxBB.jpg,cheesewaxBB,cheesewax
Trial # 105/300,Object2/lucitefruit/lucitefruit3.jpg,lucitefruit3,lucitefruit
Trial # 106/300,Object2/bluejelly/bluejelly.jpg,bluejelly,bluejelly
Trial # 107/300,Object2/tulumba/tulumba4.jpg,tulumba4,tulumba
Trial # 108/300,Object2/eggyolk/eggyolk8.jpg,eggyolk8,eggyolk
Trial # 109/300,Object2/caramelcandy/caramelcandy1.jpg,caramelcandy1,caramelcandy
Trial # 110/300,Object2/lucitefruit/lucitefruit1.jpg,lucitefruit1,lucitefruit
Trial # 111/300,Object2/FrostedGlass/frostedglass2.jpg,frostedglass2,FrostedGlass
Trial # 112/300,Object2/rock/brownrock.jpg,brownrock,rock
Trial # 113/300,Object2/dragonfruit/dragonfruit4.jpg,dragonfruit4,dragonfruit
Trial # 114/300,Object2/toy/toy1.jpg,toy1,toy
Trial # 115/300,Object2/toy/toy2BB.jpg,toy2BB,toy
Trial # 116/300,Object2/marshmallow/marshmallow2.jpg,marshmallow2,marshmallow
Trial # 117/300,Object2/marzipan/maripan1.jpg,maripan1,marzipan
Trial # 118/300,Object2/soaps/tarsoap1.jpg,tarsoap1,soaps
