Trial_num,image_path,image_name,object_type
Trial # 226/300,Object2/peeledpumkin/peeledpumkin2.jpg,peeledpumkin2,peeledpumkin
Trial # 227/300,Object2/tulumba/tulumba4.jpg,tulumba4,tulumba
Trial # 228/300,Object2/mochi/mochi11.jpg,mochi11,mochi
Trial # 229/300,Object2/strawberry/strawberry2.jpg,strawberry2,strawberry
Trial # 230/300,Object2/tuna/tuna2.jpg,tuna2,tuna
Trial # 231/300,Object2/snowball/snowbow2.jpg,snowbow2,snowball
Trial # 232/300,Object2/scallops/Scallops4.jpg,Scallops4,scallops
Trial # 233/300,Object2/quartz/quartz77.jpg,quartz77,quartz
Trial # 234/300,Object2/cheese/cheese3.jpg,cheese3,cheese
Trial # 235/300,Object2/sweetpotato/sweetpotato1.jpg,sweetpotato1,sweetpotato
Trial # 236/300,Object2/crystal/quartz64.jpg,quartz64,crystal
Trial # 237/300,Object2/caramelcandy/caramelcandy5.jpg,caramelcandy5,caramelcandy
Trial # 238/300,Object2/onion/onion1.jpg,onion1,onion
Trial # 239/300,Object2/soaps/soap8.jpg,soap8,soaps
Trial # 240/300,Object2/tofu/tofu7.jpg,tofu7,tofu
Trial # 241/300,Object2/soaps/tarsoap1.jpg,tarsoap1,soaps
Trial # 242/300,Object2/seashell/seashell6.jpg,seashell6,seashell
Trial # 243/300,Object2/botryoidal/botryoidal2.jpg,botryoidal2,botryoidal
Trial # 244/300,Object2/metal/metal13.jpg,metal13,metal
Trial # 245/300,Object2/ruber/rubber7.jpg,rubber7,ruber
Trial # 246/300,Object2/FrostedGlass/frostedglass1.jpg,frostedglass1,FrostedGlass
Trial # 247/300,Object2/DragonfruitJelly/DragonfruitJelly2.jpg,DragonfruitJelly2,DragonfruitJelly
Trial # 248/300,Object2/resin/resin3.jpg,resin3,resin
Trial # 249/300,Object2/egg/egg5.jpg,egg5,egg
Trial # 250/300,Object2/jello/jello5.jpg,jello5,jello
Trial # 251/300,Object2/toy/stickytoy1.jpg,stickytoy1,toy
Trial # 252/300,Object2/chalk/chalk3.jpg,chalk3,chalk
Trial # 253/300,Object2/plasticfruit/plastic6BB.jpg,plastic6BB,plasticfruit
Trial # 254/300,Object2/icecream/icecream1.jpg,icecream1,icecream
Trial # 255/300,Object2/beewax/beewax8.jpg,beewax8,beewax
Trial # 256/300,Object2/JellyMooncake/JellyMooncake5.jpg,JellyMooncake5,JellyMooncake
Trial # 257/300,Object2/carrot/carrotslice1.jpg,carrotslice1,carrot
Trial # 258/300,Object2/honeycomb/honeycomb3.jpg,honeycomb3,honeycomb
Trial # 259/300,Object2/icecream/icecream5.jpg,icecream5,icecream
Trial # 260/300,Object2/cookie/cookie2.jpg,cookie2,cookie
Trial # 261/300,Object2/jello/jello1.jpg,jello1,jello
Trial # 262/300,Object2/chocolate/chocolate13.jpg,chocolate13,chocolate
Trial # 263/300,Object2/GlycerinSoap/GlycerinSoap3.jpg,GlycerinSoap3,GlycerinSoap
Trial # 264/300,Object2/mochi/mochi8.jpg,mochi8,mochi
Trial # 265/300,Object2/metal/metal14.jpg,metal14,metal
Trial # 266/300,Object2/dragonfruit/dragonfruit7.jpg,dragonfruit7,dragonfruit
Trial # 267/300,Object2/tulumba/tulumba1.jpg,tulumba1,tulumba
Trial # 268/300,Object2/mangojelly/mangojelly1.jpg,mangojelly1,mangojelly
Trial # 269/300,Object2/quartz/quartz80.jpg,quartz80,quartz
Trial # 270/300,Object2/soywax/soywax4.jpg,soywax4,soywax
Trial # 271/300,Object2/butter/butter4.jpg,butter4,butter
Trial # 272/300,Object2/soaps/soapBB.jpg,soapBB,soaps
Trial # 273/300,Object2/quartz/quartz54.jpg,quartz54,quartz
Trial # 274/300,Object2/wax/wax14.jpg,wax14,wax
Trial # 275/300,Object2/gummi/gummi30.jpg,gummi30,gummi
Trial # 276/300,Object2/fishmeat/fishmeat6.jpg,fishmeat6,fishmeat
Trial # 277/300,Object2/dragonfruit/dragonfruit4.jpg,dragonfruit4,dragonfruit
Trial # 278/300,Object2/rope/strand1.jpg,strand1,rope
Trial # 279/300,Object2/peeledlemon/peeledlemon3.jpg,peeledlemon3,peeledlemon
Trial # 280/300,Object2/bun/bun3.jpg,bun3,bun
Trial # 281/300,Object2/mangojelly/mangojelly5.jpg,mangojelly5,mangojelly
Trial # 282/300,Object2/turnipslice/turnipslice2.jpg,turnipslice2,turnipslice
Trial # 283/300,Object2/waxcube/waxcube1.jpg,waxcube1,waxcube
Trial # 284/300,Object2/toy/toy2BB.jpg,toy2BB,toy
Trial # 285/300,Object2/banana/SlicedBanana2.jpg,SlicedBanana2,banana
Trial # 286/300,Object2/sugarcube/sugarcube4.jpg,sugarcube4,sugarcube
Trial # 287/300,Object2/sponge/sponge1.jpg,sponge1,sponge
Trial # 288/300,Object2/fluorite/fluorite4.jpg,fluorite4,fluorite
Trial # 289/300,Object2/peeledorange/peeledorange3.jpg,peeledorange3,peeledorange
Trial # 290/300,Object2/beewax/beewax9.jpg,beewax9,beewax
Trial # 291/300,Object2/cup/cup14BB.jpg,cup14BB,cup
Trial # 292/300,Object2/metal/metal17.jpg,metal17,metal
Trial # 293/300,Object2/LemonSlice/limeslice6.jpg,limeslice6,LemonSlice
Trial # 294/300,Object2/snowball/snowball3.jpg,snowball3,snowball
Trial # 295/300,Object2/cucumberslice/cucumberslice2.jpg,cucumberslice2,cucumberslice
Trial # 296/300,Object2/LemonWedge/lemonwedge4.jpg,lemonwedge4,LemonWedge
Trial # 297/300,Object2/fluorite/fluorite1.jpg,fluorite1,fluorite
Trial # 298/300,Object2/marble/marble1.jpg,marble1,marble
Trial # 299/300,Object2/butter/butter2.jpg,butter2,butter
Trial # 300/300,Object2/glass/glasscup1.jpg,glasscup1,glass
