,image_name,see_throughness,glossiness,softness,glow,density,label
58,towel3,1,1,6,1,6,1
59,copperBB,1,5,1,1,6,1
60,pickle1,1,6,4,1,3,1
61,ice5,1,6,6,2,1,1
62,sweetpotato3,1,1,2,1,3,1
63,GlycerinSoap3,1,6,2,5,3,0
64,quartz77,5,6,1,5,5,1
65,DriedCantaloupe4,3,1,6,5,2,1
66,marblestatue2,1,1,1,1,6,1
67,honeydew2,1,2,5,3,2,1
68,tire1,1,1,2,1,6,1
69,tulumba1,1,6,6,2,3,1
70,meat10,1,2,6,1,4,1
71,cocoon2,1,1,6,1,4,1
72,mochi13,1,6,6,2,2,1
73,pineapple5,1,1,2,1,4,1
74,tuna10BB,1,2,4,2,4,1
75,honeycomb4,1,6,5,4,4,0
76,peeledpeach1,2,6,4,4,3,1
77,ceramic3,1,5,1,1,6,1
78,honeysoap1,5,4,4,5,4,0
79,snowbow2,2,2,5,1,2,1
80,kiwi7,1,4,6,2,1,1
81,onion1,2,3,4,1,2,1
82,yellowsoap1,1,4,2,2,3,1
83,olivesoap1,1,1,1,1,6,1
84,eraser3,1,1,6,1,2,1
85,dumpling3,2,6,6,2,2,1
86,wax2,3,2,4,3,3,1
87,peeledorange3,4,1,6,5,2,1
88,resin2,3,2,1,6,4,0
89,salmon5,1,6,6,3,3,1
90,selenite3,2,1,1,4,4,0
91,gummi30,2,6,6,5,4,0
92,marzipan3,1,2,5,1,4,1
93,glasschess1,2,3,1,4,5,0
94,orangewedge5,3,6,6,5,2,1
95,peeledpumkin4,1,2,3,2,3,1
96,dragonfruit7,1,6,6,2,2,0
97,beewax12,1,4,1,1,3,1
98,fluorite1,2,4,1,4,5,0
99,bronzehead,1,5,1,1,6,1
100,beewax8,1,4,1,1,5,1
101,egg6,1,4,6,1,3,1
102,jade11,1,2,1,1,2,1
103,cheesewaxBB,1,1,2,1,4,1
104,lucitefruit3,4,6,2,4,4,1
105,bluejelly,2,5,1,2,3,0
106,tulumba4,1,5,5,2,4,1
107,eggyolk8,1,6,6,2,2,1
108,caramelcandy1,1,6,1,2,4,1
109,lucitefruit1,5,6,1,5,5,0
110,frostedglass2,3,6,1,3,4,0
111,brownrock,6,6,1,3,4,1
112,dragonfruit4,1,5,3,1,4,1
113,toy1,2,1,4,5,4,1
114,toy2BB,2,1,2,4,4,0
115,marshmallow2,1,1,6,1,3,1
116,maripan1,1,1,5,2,3,1
117,tarsoap1,1,1,1,1,5,1
118,mochi11,1,1,4,1,6,1
119,wood14,1,2,1,1,4,1
120,frostedglass3,2,2,1,3,4,0
121,Scallops3,1,5,5,2,3,1
122,carrotslice1,2,1,2,3,3,1
123,JellyMooncake1,4,5,5,5,4,0
124,meat1BB,1,2,5,1,4,1
125,cheese7,2,4,2,4,4,1
126,ambersoap,2,5,2,5,4,0
127,honeycomb3,2,6,5,5,3,0
128,cheesekeycap,1,5,5,1,4,1
129,marble3,1,5,1,1,6,1
130,SlicedBanana2,1,4,4,2,4,1
131,waxcube3,2,1,4,4,4,1
132,mantou1,1,2,4,1,3,1
133,fudge4,1,2,5,1,5,1
134,raspberry3,1,4,6,3,2,0
135,butter1,1,1,5,2,3,1
136,tofu2,1,4,6,1,1,1
137,hamslice2,1,1,5,1,2,1
138,bearBB,3,6,5,6,4,0
139,cheesewax4,1,2,3,1,3,1
140,avacado6,1,3,5,1,2,1
141,ivory2,1,1,1,1,6,1
142,jello2,4,5,5,5,3,1
143,quartz64,1,5,1,2,6,0
144,turnipslice1,2,1,4,2,2,1
145,pot3,1,2,1,1,6,1
146,palmivory3,1,3,4,2,3,1
147,soap3BB,2,5,3,5,4,1
148,clay11,1,1,2,1,5,1
149,whitejade3,2,5,2,2,5,1
150,beewax7,1,4,2,1,5,1
151,jade12,1,4,2,1,5,1
152,mangojelly3,2,6,5,5,4,1
153,marble1,1,6,1,1,6,1
154,glasschess3,6,6,1,2,5,0
155,jade5BB,2,6,1,2,5,1
156,beewax9,1,1,3,5,5,1
157,cheese12,1,1,4,1,5,1
158,seashell6,1,1,1,1,6,1
159,bowl1,1,5,1,1,3,1
160,tofu7,1,2,4,1,3,1
161,cheesecake4,1,2,6,1,3,1
162,peeledpumkin2,1,3,6,2,2,1
163,beewax4,1,2,2,1,4,1
164,metal17,1,6,1,1,6,1
165,icecream1,1,1,6,1,4,1
166,fishmeat1,1,1,6,1,2,1
167,PinkWax2,2,4,6,5,4,0
168,honeycandy2,3,4,2,5,3,1
169,metal8,3,4,1,2,4,0
170,pearl4,1,6,1,1,6,1
171,fluorite2,4,3,1,6,5,0
172,sulfursoap1,1,1,1,6,5,1
173,tuna4BB,1,1,6,2,4,1
174,cheesewax5,1,1,2,1,5,1
175,woodcube1,1,1,1,1,6,1
176,salmon3,1,3,6,2,4,1
177,jade13,1,6,1,1,6,0
178,sulfursoap2,1,3,1,1,6,1
179,fluorite4,3,3,2,4,4,1
180,sponge1,1,1,6,1,2,1
181,urethane1,1,3,1,1,5,1
182,resincube1,2,4,2,5,4,0
183,cheese16,1,1,5,1,6,1
184,beeswax1,1,1,3,2,5,1
185,cheese8,1,2,2,1,3,1
186,orangewedge1,2,5,6,4,3,0
187,pomegranate2,1,6,2,3,4,0
188,fishmeat5,1,2,6,2,4,1
189,glasschess2,3,3,1,4,4,1
190,rmeat3BB,1,1,5,1,3,1
191,sugarcube5,1,2,4,1,2,1
192,waxcube1,1,2,1,1,4,1
193,beewax6,1,1,2,1,5,1
194,meat5BB,1,6,5,1,4,1
195,sugarcube2,1,2,1,1,4,1
196,dougao1,1,2,6,1,2,1
197,mochi8,1,4,3,3,3,1
198,GlycerinSoap2,2,3,1,5,4,0
199,limesoap1,1,2,2,1,4,1
200,meat3BB,1,4,5,1,3,1
201,copper3,1,2,1,1,5,1
202,glycerin6,3,2,3,6,4,0
203,egg5,1,6,6,2,5,1
204,beeswax3,1,4,2,1,5,1
205,wax4BB,2,6,5,4,3,0
206,tofu3,1,1,5,1,6,1
207,kiwi2,1,6,6,3,2,1
208,bread2,1,1,6,1,2,1
209,JellyMooncake5,1,5,3,3,3,1
210,seashell4,1,4,1,1,6,1
211,clay12,1,1,3,1,5,1
212,crystal3,2,4,1,2,4,0
213,watermelonchunk2,1,2,6,2,2,1
214,butter4,1,2,6,1,2,1
215,icecream5,1,1,5,1,3,1
216,dougao4,1,2,3,1,3,1
217,cheese14,1,1,1,1,5,1
218,brick12,1,4,1,1,6,1
219,honey1,2,5,1,4,4,1
220,quartz80,2,4,1,2,5,0
221,botryoidal1,3,2,2,4,5,0
222,rockcandy1,4,5,1,6,5,0
223,mochi1,2,3,2,1,5,1
224,wax3,2,1,2,5,5,1
225,cantaloupe3,1,2,5,3,1,1
226,spinach3,1,2,6,1,1,1
227,peeledlemon2,1,1,6,1,2,1
228,bowl6,1,2,1,1,6,1
229,strand1,1,1,1,1,6,1
230,metal13,1,5,1,1,6,0
231,mangojelly1,2,2,3,5,4,1
232,peeledlemon5,2,5,6,3,3,0
233,fluorite7,1,6,1,2,6,1
234,greenston2,2,6,1,4,6,1
235,cucumberslice2,1,2,2,1,3,1
